x-coordinates,y-coordinates,which spiral
6.5,0,0
6.313805243,1.255893948,0
5.88973202,2.439606881,0
5.248651928,3.507037096,0
4.419417382,4.419417382,0
3.437590817,5.144718226,0
2.343936023,5.658762137,0
1.182735077,5.946010762,0
3.67E-16,6,0
-1.158348787,5.823412602,0
-2.248265165,5.427792254,0
-3.229251979,4.832917122,0
-4.065863992,4.065863992,0
-4.72898342,3.1598057,0
-5.19682237,2.152594307,0
-5.455618122,1.085189916,0
-5.5,6.74E-16,0
-5.333019962,-1.060803626,0
-4.965852487,-2.056923449,0
-4.417182315,-2.951466863,0
-3.712310601,-3.712310601,0
-2.882020584,-4.313248614,0
-1.961252591,-4.734882604,0
-0.9876447552,-4.965225482,0
-9.18E-16,-5,0
0.963258465,-4.842627322,0
1.865581733,-4.503912721,0
2.673681746,-4.001447509,0
3.358757211,-3.358757211,0
3.897513808,-2.604235467,0
4.272942838,-1.769910875,0
4.474832842,-0.8900995942,0
4.5,-1.10E-15,0
4.352234682,0.8657133039,0
4.041972955,1.674240017,0
3.585712703,2.39589663,0
3.00520382,3.00520382,0
2.326450351,3.481779002,0
1.578569159,3.811003072,0
0.7925544332,3.984440202,0
1.22E-15,4,0
-0.7681681429,3.861842042,0
-1.4828983,3.580033188,0
-2.118111513,3.169977897,0
-2.651650429,2.651650429,0
-3.066044195,2.048665234,0
-3.349063305,1.387227442,0
-3.494047561,0.6950092722,0
-3.5,1.29E-15,0
-3.371449401,-0.6706229819,0
-3.118093422,-1.291556584,0
-2.754243091,-1.840326397,0
-2.298097039,-2.298097039,0
-1.770880118,-2.650309389,0
-1.195885726,-2.887123539,0
-0.5974641112,-3.003654921,0
-1.29E-15,-3,0
0.5730778209,-2.881056761,0
1.100214868,-2.656153656,0
1.56254128,-2.338508285,0
1.944543648,-1.944543648,0
2.234574583,-1.493095001,0
2.425183773,-1.00454401,0
2.513262281,-0.4999189502,0
2.5,-1.22E-15,0
2.390664121,0.4755326599,0
2.19421389,0.9088731519,0
1.922773478,1.284756164,0
1.590990258,1.590990258,0
1.215309885,1.818839777,0
0.8132022938,1.963244007,0
0.4023737892,2.022869641,0
1.10E-15,2,0
-0.3779874989,1.900271481,0
-0.7175314357,1.732274123,0
-1.006971047,1.507038672,0
-1.237436867,1.237436867,0
-1.403104971,0.9375247682,0
-1.50130424,0.6218605776,0
-1.532477001,0.3048286282,0
-1.5,9.18E-16,0
-1.409878841,-0.2804423379,0
-1.270334357,-0.5261897195,0
-1.091303866,-0.7291859308,0
-0.8838834765,-0.8838834765,0
-0.6597396517,-0.9873701646,0
-0.4305188614,-1.039364474,0
-0.2072834671,-1.04208436,0
-2.45E-15,-1,0
0.1828971769,-0.9194862004,0
0.3348480033,-0.8083945909,0
0.4514008143,-0.67556906,0
0.5303300859,-0.5303300859,0
0.5716353585,-0.3819545352,0
0.5774247078,-0.2391771452,0
0.5516917202,-0.1097383061,0
0.5,-3.67E-16,0
-6.5,0,1
-6.313805243,-1.255893948,1
-5.88973202,-2.439606881,1
-5.248651928,-3.507037096,1
-4.419417382,-4.419417382,1
-3.437590817,-5.144718226,1
-2.343936023,-5.658762137,1
-1.182735077,-5.946010762,1
-3.67E-16,-6,1
1.158348787,-5.823412602,1
2.248265165,-5.427792254,1
3.229251979,-4.832917122,1
4.065863992,-4.065863992,1
4.72898342,-3.1598057,1
5.19682237,-2.152594307,1
5.455618122,-1.085189916,1
5.5,-6.74E-16,1
5.333019962,1.060803626,1
4.965852487,2.056923449,1
4.417182315,2.951466863,1
3.712310601,3.712310601,1
2.882020584,4.313248614,1
1.961252591,4.734882604,1
0.9876447552,4.965225482,1
9.18E-16,5,1
-0.963258465,4.842627322,1
-1.865581733,4.503912721,1
-2.673681746,4.001447509,1
-3.358757211,3.358757211,1
-3.897513808,2.604235467,1
-4.272942838,1.769910875,1
-4.474832842,0.8900995942,1
-4.5,1.10E-15,1
-4.352234682,-0.8657133039,1
-4.041972955,-1.674240017,1
-3.585712703,-2.39589663,1
-3.00520382,-3.00520382,1
-2.326450351,-3.481779002,1
-1.578569159,-3.811003072,1
-0.7925544332,-3.984440202,1
-1.22E-15,-4,1
0.7681681429,-3.861842042,1
1.4828983,-3.580033188,1
2.118111513,-3.169977897,1
2.651650429,-2.651650429,1
